FROM,TO,TOTAL
Antelope-North Highlands,Antelope-North Highlands,17224
Antelope-North Highlands,Arden Arcade,1756
Antelope-North Highlands,Carmichael,780
Antelope-North Highlands,Citrus Heights,2717
Antelope-North Highlands,Cosumnes,20
Antelope-North Highlands,Delta,6
Antelope-North Highlands,Downtown,665
Antelope-North Highlands,East Sacramento,592
Antelope-North Highlands,El Dorado,272
Antelope-North Highlands,Elk Grove,131
Antelope-North Highlands,Fair Oaks,233
Antelope-North Highlands,Folsom,315
Antelope-North Highlands,Franklin,8
Antelope-North Highlands,Galt,15
Antelope-North Highlands,Laguna,215
Antelope-North Highlands,Land Park-Pocket-Meadowview,328
Antelope-North Highlands,North Natomas,612
Antelope-North Highlands,North Sacramento,1527
Antelope-North Highlands,NW Vision Area,103
Antelope-North Highlands,Orangevale,196
Antelope-North Highlands,Placer,3881
Antelope-North Highlands,Rancho Cordova East,62
Antelope-North Highlands,Rancho Cordova West,750
Antelope-North Highlands,Rancho Murieta,1
Antelope-North Highlands,Rio Linda - Elverta,604
Antelope-North Highlands,Rosemont,220
Antelope-North Highlands,South Natomas,428
Antelope-North Highlands,South Sacramento,917
Antelope-North Highlands,Southeast County,5
Antelope-North Highlands,Sutter,125
Antelope-North Highlands,Vineyard,70
Antelope-North Highlands,Yolo,598
Antelope-North Highlands,Yuba,106
Arden Arcade,Antelope-North Highlands,1720
Arden Arcade,Arden Arcade,13214
Arden Arcade,Carmichael,1315
Arden Arcade,Citrus Heights,834
Arden Arcade,Cosumnes,30
Arden Arcade,Delta,8
Arden Arcade,Downtown,1047
Arden Arcade,East Sacramento,1490
Arden Arcade,El Dorado,244
Arden Arcade,Elk Grove,253
Arden Arcade,Fair Oaks,192
Arden Arcade,Folsom,326
Arden Arcade,Franklin,14
Arden Arcade,Galt,48
Arden Arcade,Laguna,427
Arden Arcade,Land Park-Pocket-Meadowview,537
Arden Arcade,North Natomas,498
Arden Arcade,North Sacramento,2280
Arden Arcade,NotUsed,1
Arden Arcade,NW Vision Area,76
Arden Arcade,Orangevale,102
Arden Arcade,Placer,1257
Arden Arcade,Rancho Cordova East,76
Arden Arcade,Rancho Cordova West,819
Arden Arcade,Rancho Murieta,23
Arden Arcade,Rio Linda - Elverta,113
Arden Arcade,Rosemont,524
Arden Arcade,South Natomas,430
Arden Arcade,South Sacramento,1256
Arden Arcade,Southeast County,9
Arden Arcade,Sutter,97
Arden Arcade,Vineyard,145
Arden Arcade,Yolo,645
Arden Arcade,Yuba,61
Carmichael,Antelope-North Highlands,802
Carmichael,Arden Arcade,1285
Carmichael,Carmichael,3877
Carmichael,Citrus Heights,1000
Carmichael,Cosumnes,15
Carmichael,Delta,3
Carmichael,Downtown,245
Carmichael,East Sacramento,253
Carmichael,El Dorado,126
Carmichael,Elk Grove,44
Carmichael,Fair Oaks,283
Carmichael,Folsom,144
Carmichael,Franklin,2
Carmichael,Galt,13
Carmichael,Laguna,62
Carmichael,Land Park-Pocket-Meadowview,119
Carmichael,North Natomas,138
Carmichael,North Sacramento,291
Carmichael,NW Vision Area,17
Carmichael,Orangevale,93
Carmichael,Placer,543
Carmichael,Rancho Cordova East,38
Carmichael,Rancho Cordova West,433
Carmichael,Rancho Murieta,3
Carmichael,Rio Linda - Elverta,78
Carmichael,Rosemont,108
Carmichael,South Natomas,81
Carmichael,South Sacramento,277
Carmichael,Southeast County,4
Carmichael,Sutter,22
Carmichael,Vineyard,32
Carmichael,Yolo,192
Carmichael,Yuba,17
Citrus Heights,Antelope-North Highlands,2788
Citrus Heights,Arden Arcade,840
Citrus Heights,Carmichael,1006
Citrus Heights,Citrus Heights,11026
Citrus Heights,Cosumnes,10
Citrus Heights,Delta,6
Citrus Heights,Downtown,432
Citrus Heights,East Sacramento,368
Citrus Heights,El Dorado,307
Citrus Heights,Elk Grove,94
Citrus Heights,Fair Oaks,856
Citrus Heights,Folsom,566
Citrus Heights,Franklin,5
Citrus Heights,Galt,12
Citrus Heights,Laguna,141
Citrus Heights,Land Park-Pocket-Meadowview,198
Citrus Heights,North Natomas,223
Citrus Heights,North Sacramento,475
Citrus Heights,NW Vision Area,42
Citrus Heights,Orangevale,788
Citrus Heights,Placer,3265
Citrus Heights,Rancho Cordova East,100
Citrus Heights,Rancho Cordova West,828
Citrus Heights,Rancho Murieta,6
Citrus Heights,Rio Linda - Elverta,139
Citrus Heights,Rosemont,165
Citrus Heights,South Natomas,162
Citrus Heights,South Sacramento,483
Citrus Heights,Southeast County,9
Citrus Heights,Sutter,42
Citrus Heights,Vineyard,47
Citrus Heights,Yolo,301
Citrus Heights,Yuba,90
Cosumnes,Antelope-North Highlands,22
Cosumnes,Arden Arcade,31
Cosumnes,Carmichael,17
Cosumnes,Citrus Heights,21
Cosumnes,Cosumnes,568
Cosumnes,Delta,7
Cosumnes,Downtown,25
Cosumnes,East Sacramento,28
Cosumnes,El Dorado,28
Cosumnes,Elk Grove,178
Cosumnes,Fair Oaks,9
Cosumnes,Folsom,53
Cosumnes,Franklin,5
Cosumnes,Galt,36
Cosumnes,Laguna,82
Cosumnes,Land Park-Pocket-Meadowview,22
Cosumnes,North Natomas,13
Cosumnes,North Sacramento,16
Cosumnes,NW Vision Area,8
Cosumnes,Orangevale,7
Cosumnes,Placer,58
Cosumnes,Rancho Cordova East,7
Cosumnes,Rancho Cordova West,101
Cosumnes,Rancho Murieta,92
Cosumnes,Rio Linda - Elverta,4
Cosumnes,Rosemont,25
Cosumnes,South Natomas,4
Cosumnes,South Sacramento,77
Cosumnes,Southeast County,35
Cosumnes,Sutter,4
Cosumnes,Vineyard,32
Cosumnes,Yolo,21
Cosumnes,Yuba,1
Delta,Antelope-North Highlands,13
Delta,Arden Arcade,15
Delta,Carmichael,4
Delta,Citrus Heights,5
Delta,Cosumnes,13
Delta,Delta,663
Delta,Downtown,18
Delta,East Sacramento,27
Delta,El Dorado,23
Delta,Elk Grove,30
Delta,Fair Oaks,2
Delta,Folsom,11
Delta,Franklin,2
Delta,Galt,21
Delta,Laguna,85
Delta,Land Park-Pocket-Meadowview,92
Delta,North Natomas,12
Delta,North Sacramento,13
Delta,NW Vision Area,1
Delta,Orangevale,6
Delta,Placer,41
Delta,Rancho Cordova East,2
Delta,Rancho Cordova West,19
Delta,Rio Linda - Elverta,3
Delta,Rosemont,3
Delta,South Natomas,11
Delta,South Sacramento,45
Delta,Southeast County,4
Delta,Sutter,11
Delta,Vineyard,7
Delta,Yolo,118
Delta,Yuba,3
Delta,NA,1
Downtown,Antelope-North Highlands,682
Downtown,Arden Arcade,1064
Downtown,Carmichael,247
Downtown,Citrus Heights,464
Downtown,Cosumnes,16
Downtown,Delta,9
Downtown,Downtown,9729
Downtown,East Sacramento,1628
Downtown,El Dorado,261
Downtown,Elk Grove,412
Downtown,Fair Oaks,102
Downtown,Folsom,320
Downtown,Franklin,15
Downtown,Galt,101
Downtown,Laguna,825
Downtown,Land Park-Pocket-Meadowview,1611
Downtown,North Natomas,886
Downtown,North Sacramento,1010
Downtown,NotUsed,2
Downtown,NW Vision Area,104
Downtown,Orangevale,78
Downtown,Placer,1095
Downtown,Rancho Cordova East,72
Downtown,Rancho Cordova West,534
Downtown,Rancho Murieta,15
Downtown,Rio Linda - Elverta,56
Downtown,Rosemont,346
Downtown,South Natomas,774
Downtown,South Sacramento,1610
Downtown,Southeast County,15
Downtown,Sutter,84
Downtown,Vineyard,134
Downtown,Yolo,1294
Downtown,Yuba,115
East Sacramento,Antelope-North Highlands,558
East Sacramento,Arden Arcade,1521
East Sacramento,Carmichael,250
East Sacramento,Citrus Heights,373
East Sacramento,Cosumnes,28
East Sacramento,Delta,15
East Sacramento,Downtown,1590
East Sacramento,East Sacramento,9421
East Sacramento,El Dorado,304
East Sacramento,Elk Grove,413
East Sacramento,Fair Oaks,86
East Sacramento,Folsom,297
East Sacramento,Franklin,8
East Sacramento,Galt,67
East Sacramento,Laguna,609
East Sacramento,Land Park-Pocket-Meadowview,1255
East Sacramento,North Natomas,379
East Sacramento,North Sacramento,926
East Sacramento,NW Vision Area,50
East Sacramento,Orangevale,59
East Sacramento,Placer,831
East Sacramento,Rancho Cordova East,63
East Sacramento,Rancho Cordova West,809
East Sacramento,Rancho Murieta,20
East Sacramento,Rio Linda - Elverta,63
East Sacramento,Rosemont,660
East Sacramento,South Natomas,623
East Sacramento,South Sacramento,2643
East Sacramento,Southeast County,13
East Sacramento,Sutter,102
East Sacramento,Vineyard,249
East Sacramento,Yolo,672
East Sacramento,Yuba,71
El Dorado,Antelope-North Highlands,289
El Dorado,Arden Arcade,253
El Dorado,Carmichael,112
El Dorado,Citrus Heights,304
El Dorado,Cosumnes,28
El Dorado,Delta,6
El Dorado,Downtown,300
El Dorado,East Sacramento,310
El Dorado,El Dorado,24421
El Dorado,Elk Grove,104
El Dorado,Fair Oaks,153
El Dorado,Folsom,2523
El Dorado,Franklin,10
El Dorado,Galt,28
El Dorado,Laguna,96
El Dorado,Land Park-Pocket-Meadowview,126
El Dorado,North Natomas,66
El Dorado,North Sacramento,131
El Dorado,NW Vision Area,59
El Dorado,Orangevale,111
El Dorado,Placer,1101
El Dorado,Rancho Cordova East,125
El Dorado,Rancho Cordova West,700
El Dorado,Rancho Murieta,25
El Dorado,Rio Linda - Elverta,18
El Dorado,Rosemont,129
El Dorado,South Natomas,100
El Dorado,South Sacramento,350
El Dorado,Southeast County,12
El Dorado,Sutter,28
El Dorado,Vineyard,62
El Dorado,Yolo,184
El Dorado,Yuba,44
Elk Grove,Antelope-North Highlands,143
Elk Grove,Arden Arcade,246
Elk Grove,Carmichael,49
Elk Grove,Citrus Heights,109
